,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
0,2026-08-30 18:30:00,EQ,212.37,213.13,198.0,212.63,198.0,198.0,203.04,53907969,10945218708.11,152045,35395341,65.66,ADANIPOWER
1,2026-08-27 18:30:00,EQ,215.92,216.5,210.91,215.0,212.63,212.63,212.49,14256352,3029384925.5,75985,5195217,36.44,ADANIPOWER
2,2026-08-26 18:30:00,EQ,209.15,217.4,207.3,207.2,215.0,215.0,212.71,70024737,14895004327.07,218917,28760551,41.07,ADANIPOWER
3,2026-08-25 18:30:00,EQ,206.96,213.5,206.57,206.33,207.2,207.2,209.94,23035619,4836073251.59,108984,7304906,31.71,ADANIPOWER
4,2026-08-24 18:30:00,EQ,203.06,206.8,201.43,203.7,206.33,206.33,204.5,14258939,2915934527.05,73076,5888204,41.29,ADANIPOWER
5,2026-08-23 18:30:00,EQ,205.2,205.6,202.57,205.5,203.7,203.7,203.52,9498733,1933216004.76,55607,4212862,44.35,ADANIPOWER
6,2026-08-20 18:30:00,EQ,203.99,205.5,202.83,204.0,205.5,205.5,203.9,10503673,2141749277.12,77913,4640169,44.18,ADANIPOWER
7,2026-08-19 18:30:00,EQ,204.5,205.48,202.8,204.02,204.0,204.0,204.35,10829931,2213097718.2,57227,5064906,46.77,ADANIPOWER
8,2026-08-18 18:30:00,EQ,205.9,205.9,202.69,205.58,204.02,204.02,203.66,10553545,2149299805.69,57104,3640349,34.49,ADANIPOWER
9,2026-08-17 18:30:00,EQ,203.8,208.67,203.57,203.56,205.58,205.58,206.76,19181716,3965981703.7,94945,6996410,36.47,ADANIPOWER
10,2026-08-16 18:30:00,EQ,205.25,205.75,201.77,205.25,203.56,203.56,203.91,17130158,3493088476.77,90335,7228283,42.2,ADANIPOWER
11,2026-08-13 18:30:00,EQ,205.91,208.14,205.0,206.1,205.25,205.25,206.14,13864195,2857898563.66,86771,6289411,45.36,ADANIPOWER
12,2026-08-12 18:30:00,EQ,207.51,209.7,204.11,206.99,206.1,206.1,205.83,13554048,2789806345.76,75331,4414991,32.57,ADANIPOWER
13,2026-08-11 18:30:00,EQ,209.0,209.69,205.02,209.0,206.99,206.99,206.64,13943707,2881369924.34,80454,5128877,36.78,ADANIPOWER
14,2026-08-10 18:30:00,EQ,213.0,213.8,208.2,210.65,209.0,209.0,210.49,17507515,3685078394.01,84141,5642736,32.23,ADANIPOWER
15,2026-08-09 18:30:00,EQ,209.05,211.88,207.7,209.0,210.65,210.65,209.45,13196740,2764020097.6,66174,6355908,48.16,ADANIPOWER
16,2026-08-06 18:30:00,EQ,208.13,212.1,208.13,208.12,209.0,209.0,210.25,14372119,3021666669.32,74627,5652686,39.33,ADANIPOWER
17,2026-08-05 18:30:00,EQ,208.59,210.2,206.7,208.99,208.12,208.12,208.35,15357824,3199763273.14,66332,6843003,44.56,ADANIPOWER
18,2026-08-04 18:30:00,EQ,211.0,211.33,207.0,209.95,208.99,208.99,208.73,15188719,3170344944.65,79501,6638842,43.71,ADANIPOWER
19,2026-08-03 18:30:00,EQ,212.8,213.35,209.0,213.65,209.95,209.95,211.07,11392298,2404610549.23,63452,5004871,43.93,ADANIPOWER
20,2026-08-03 18:30:00,BL,210.5,210.5,210.5,153.28,210.5,210.5,210.5,124800000,26270400000.0,1,0,,ADANIPOWER
21,2026-08-02 18:30:00,EQ,211.8,215.11,211.15,211.31,213.65,213.65,213.0,13859607,2952130842.31,81285,4644244,33.51,ADANIPOWER
22,2026-07-30 18:30:00,EQ,209.98,212.68,209.11,208.97,210.75,211.31,211.14,15216198,3212724115.6,71998,6095280,40.06,ADANIPOWER
23,2026-07-29 18:30:00,EQ,209.2,211.2,207.11,209.52,209.0,208.97,209.28,17581232,3679448168.45,80218,6052428,34.43,ADANIPOWER
24,2026-07-28 18:30:00,EQ,209.27,211.15,207.8,208.25,209.2,209.52,209.32,12560925,2629237533.57,76468,3252687,25.9,ADANIPOWER
25,2026-07-27 18:30:00,EQ,213.85,214.8,207.65,213.96,208.47,208.25,209.7,17365344,3641582097.9,99263,6381917,36.75,ADANIPOWER
26,2026-07-26 18:30:00,EQ,214.23,215.75,213.15,213.66,213.84,213.96,214.19,14546955,3115807728.71,81663,5253501,36.11,ADANIPOWER
27,2026-07-23 18:30:00,EQ,212.22,215.1,210.1,212.23,213.52,213.66,212.98,29273015,6234535165.42,115153,9697282,33.13,ADANIPOWER
28,2026-07-22 18:30:00,EQ,217.18,218.98,211.27,216.95,212.29,212.23,214.5,34960049,7499000539.56,165163,11955570,34.2,ADANIPOWER
29,2026-07-21 18:30:00,EQ,220.37,221.7,211.9,220.37,217.05,216.95,218.0,45613497,9943642951.94,198535,10315867,22.62,ADANIPOWER
30,2026-07-20 18:30:00,EQ,220.29,222.5,219.23,219.97,220.33,220.37,220.83,19049374,4206610736.67,88340,7032297,36.92,ADANIPOWER
31,2026-07-19 18:30:00,EQ,215.75,220.51,213.71,214.45,219.8,219.97,217.75,25750666,5607164597.65,105713,9635185,37.42,ADANIPOWER
