,RequestNumber,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,His63925001285915315000,,Nifty Smallcap 50,31 Aug 2026,9999.45,10003.7,9891,9937.70
1,His63925001285915315000,,Nifty Smallcap 50,28 Aug 2026,10040.05,10050.9,9998.8,10015.00
2,His63925001285915315000,,Nifty Smallcap 50,27 Aug 2026,10019.5,10050.3,9994.25,10020.90
3,His63925001285915315000,,Nifty Smallcap 50,26 Aug 2026,9966.95,10030.75,9963.1,10012.10
4,His63925001285915315000,,Nifty Smallcap 50,25 Aug 2026,9931.75,9952.05,9887.65,9950.25
5,His63925001285915315000,,Nifty Smallcap 50,24 Aug 2026,10008.65,10032.4,9943.2,9952.25
6,His63925001285915315000,,Nifty Smallcap 50,21 Aug 2026,9959.85,10021.75,9943.15,9987.05
7,His63925001285915315000,,Nifty Smallcap 50,20 Aug 2026,9903.4,9964.5,9899.1,9901.85
8,His63925001285915315000,,Nifty Smallcap 50,19 Aug 2026,9887.4,9893.95,9824.7,9845.60
9,His63925001285915315000,,Nifty Smallcap 50,18 Aug 2026,9892.85,9936.45,9868.4,9893.45
10,His63925001285915315000,,Nifty Smallcap 50,17 Aug 2026,9885.55,9905.45,9827.75,9901.90
11,His63925001285915315000,,Nifty Smallcap 50,14 Aug 2026,9934.85,9957.05,9869.85,9873.95
12,His63925001285915315000,,Nifty Smallcap 50,13 Aug 2026,9927.05,9956.55,9913.5,9943.20
13,His63925001285915315000,,Nifty Smallcap 50,12 Aug 2026,9961.65,9964.9,9889.8,9914.30
14,His63925001285915315000,,Nifty Smallcap 50,11 Aug 2026,9958.3,9981.45,9930.75,9942.80
15,His63925001285915315000,,Nifty Smallcap 50,10 Aug 2026,9941.55,9983.75,9913.2,9925.30
16,His63925001285915315000,,Nifty Smallcap 50,07 Aug 2026,9937,9965.35,9909.5,9955.90
17,His63925001285915315000,,Nifty Smallcap 50,06 Aug 2026,9901.25,9968,9874.55,9945.05
18,His63925001285915315000,,Nifty Smallcap 50,05 Aug 2026,9792.5,9866.4,9788.75,9843.15
19,His63925001285915315000,,Nifty Smallcap 50,04 Aug 2026,9769,9798.5,9733.3,9751.80
20,His63925001285915315000,,Nifty Smallcap 50,03 Aug 2026,9697,9777.8,9676.65,9757.55
21,His63925001285915315000,,Nifty Smallcap 50,31 Jul 2026,9627.1,9676.9,9613.75,9644.45
22,His63925001285915315000,,Nifty Smallcap 50,30 Jul 2026,9645.9,9649.15,9581.8,9593.10
23,His63925001285915315000,,Nifty Smallcap 50,29 Jul 2026,9539.3,9647.8,9515,9641.10
24,His63925001285915315000,,Nifty Smallcap 50,28 Jul 2026,9487.85,9510.65,9439.3,9502.55
25,His63925001285915315000,,Nifty Smallcap 50,27 Jul 2026,9442.25,9492.65,9428.95,9486.35
26,His63925001285915315000,,Nifty Smallcap 50,24 Jul 2026,9329.25,9374.55,9246.65,9362.65
27,His63925001285915315000,,Nifty Smallcap 50,23 Jul 2026,9474.3,9479.75,9377.65,9384.40
28,His63925001285915315000,,Nifty Smallcap 50,22 Jul 2026,9644.85,9646.3,9471.65,9483.75
29,His63925001285915315000,,Nifty Smallcap 50,21 Jul 2026,9640.15,9677.8,9622.05,9659.15
30,His63925001285915315000,,Nifty Smallcap 50,20 Jul 2026,9570.6,9639.35,9544.9,9611.00
31,His63925001285915315000,,Nifty Smallcap 50,17 Jul 2026,9619.1,9621,9489.55,9576.65
32,His63925001285915315000,,Nifty Smallcap 50,16 Jul 2026,9629.75,9633.65,9562.4,9597.90
