,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
0,2026-08-30 18:30:00,EQ,1278.7,1297.6,1271.0,1287.0,1277.0,1277.0,1278.43,34871137,44580283834.5,244866,30329813,86.98,RELIANCE
1,2026-08-27 18:30:00,EQ,1284.9,1291.8,1280.0,1282.2,1287.0,1287.0,1284.52,6830228,8773545135.7,166675,4052582,59.33,RELIANCE
2,2026-08-26 18:30:00,EQ,1305.0,1308.4,1282.2,1298.0,1282.2,1282.2,1292.18,11271497,14564825828.9,218067,6282905,55.74,RELIANCE
3,2026-08-25 18:30:00,EQ,1310.0,1315.6,1298.0,1317.0,1298.0,1298.0,1305.66,5744474,7500340576.2,99432,3668643,63.86,RELIANCE
4,2026-08-24 18:30:00,EQ,1304.3,1317.1,1300.0,1309.8,1317.0,1317.0,1305.89,7115355,9291891624.7,104584,3766609,52.94,RELIANCE
5,2026-08-23 18:30:00,EQ,1316.6,1320.0,1302.4,1316.0,1309.8,1309.8,1307.91,7277167,9517855656.3,135944,4653509,63.95,RELIANCE
6,2026-08-20 18:30:00,EQ,1314.0,1316.0,1308.0,1313.2,1316.0,1316.0,1311.2,5434871,7126221067.3,92200,3403581,62.62,RELIANCE
7,2026-08-19 18:30:00,EQ,1315.5,1316.5,1307.0,1311.0,1313.2,1313.2,1312.27,5546227,7278168655.0,125718,2637500,47.55,RELIANCE
8,2026-08-18 18:30:00,EQ,1320.3,1321.6,1303.5,1322.0,1311.0,1311.0,1312.86,7489365,9832451637.5,160390,4352516,58.12,RELIANCE
9,2026-08-17 18:30:00,EQ,1314.0,1328.6,1311.2,1316.0,1322.0,1322.0,1322.76,10180567,13466467033.1,198021,5641717,55.42,RELIANCE
10,2026-08-16 18:30:00,EQ,1314.0,1320.8,1298.1,1310.0,1316.0,1316.0,1308.63,13383867,17514489451.0,208057,8534220,63.76,RELIANCE
11,2026-08-13 18:30:00,EQ,1317.0,1317.5,1301.5,1317.0,1310.0,1310.0,1308.27,10497358,13733404720.5,138435,7602445,72.42,RELIANCE
12,2026-08-12 18:30:00,EQ,1327.8,1327.8,1307.2,1329.0,1317.0,1317.0,1313.84,9397301,12346553928.4,147799,4954244,52.72,RELIANCE
13,2026-08-11 18:30:00,EQ,1323.9,1329.0,1309.2,1323.9,1329.0,1329.0,1316.33,7901012,10400335523.9,129875,4165584,52.72,RELIANCE
14,2026-08-10 18:30:00,EQ,1326.6,1328.7,1314.1,1327.3,1323.9,1323.9,1322.58,9953124,13163770084.2,121384,4398099,44.19,RELIANCE
15,2026-08-09 18:30:00,EQ,1330.1,1332.9,1321.3,1334.8,1327.3,1327.3,1326.94,8207102,10890305339.4,160982,5393844,65.72,RELIANCE
16,2026-08-06 18:30:00,EQ,1320.0,1337.0,1316.6,1325.0,1334.8,1334.8,1329.09,9885638,13138878797.8,161575,5187857,52.48,RELIANCE
17,2026-08-05 18:30:00,EQ,1285.0,1325.2,1281.2,1280.0,1325.0,1325.0,1313.24,20342297,26714270356.2,279507,10551876,51.87,RELIANCE
18,2026-08-04 18:30:00,EQ,1293.0,1299.0,1270.1,1290.9,1280.0,1280.0,1280.84,24820782,31791472335.4,355243,16901245,68.09,RELIANCE
19,2026-08-03 18:30:00,EQ,1315.0,1315.0,1286.4,1319.0,1290.9,1290.9,1296.35,10759546,13948179020.5,216789,5281866,49.09,RELIANCE
20,2026-08-02 18:30:00,EQ,1315.2,1319.0,1306.0,1307.8,1319.0,1319.0,1311.09,7508023,9843685449.4,158782,4864043,64.78,RELIANCE
21,2026-07-30 18:30:00,EQ,1295.0,1309.7,1293.6,1292.9,1305.0,1307.8,1303.09,8624996,11239164495.9,142746,5632148,65.3,RELIANCE
22,2026-07-29 18:30:00,EQ,1279.8,1297.0,1275.3,1275.9,1289.4,1292.9,1290.41,12158451,15689434967.6,209491,5286226,43.48,RELIANCE
23,2026-07-28 18:30:00,EQ,1275.0,1282.4,1268.7,1267.7,1277.1,1275.9,1275.55,9448307,12051805840.6,193119,5843381,61.85,RELIANCE
24,2026-07-27 18:30:00,EQ,1275.0,1279.2,1265.9,1280.0,1271.7,1267.7,1271.03,9312184,11836095240.8,233124,6136279,65.9,RELIANCE
25,2026-07-26 18:30:00,EQ,1288.2,1288.7,1278.0,1278.0,1281.0,1280.0,1281.07,7163132,9176506048.7,130094,4761835,66.48,RELIANCE
26,2026-07-23 18:30:00,EQ,1265.0,1283.4,1249.8,1272.2,1280.5,1278.0,1274.32,9817000,12509975780.1,240418,5777734,58.85,RELIANCE
27,2026-07-22 18:30:00,EQ,1283.0,1287.3,1268.0,1288.6,1272.6,1272.2,1275.97,12580741,16052696292.6,240048,7246752,57.6,RELIANCE
28,2026-07-21 18:30:00,EQ,1302.0,1304.6,1280.7,1303.7,1284.0,1288.6,1291.01,10840383,13995001337.7,225591,7623313,70.32,RELIANCE
29,2026-07-20 18:30:00,EQ,1321.0,1326.9,1302.7,1323.1,1304.6,1303.7,1309.52,12753410,16700809195.3,204419,7494948,58.77,RELIANCE
