,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
0,2026-08-30 18:30:00,EQ,1041.2,1060.0,1034.5,1047.5,1060.0,1060.0,1046.67,5138732,5378557512.5,82284,3432496,66.8,SBIN
1,2026-08-27 18:30:00,EQ,1046.0,1051.2,1040.5,1042.9,1047.5,1047.5,1046.79,4969272,5201768412.6,90209,2705841,54.45,SBIN
2,2026-08-26 18:30:00,EQ,1052.0,1054.4,1042.9,1052.0,1042.9,1042.9,1046.66,4788716,5012177442.2,137557,2693387,56.24,SBIN
3,2026-08-25 18:30:00,EQ,1051.4,1062.3,1051.2,1048.0,1052.0,1052.0,1056.72,5858099,6190341093.4,146788,3284133,56.06,SBIN
4,2026-08-24 18:30:00,EQ,1036.0,1048.0,1031.3,1039.5,1048.0,1048.0,1040.56,9982723,10387663669.9,111951,5170787,51.8,SBIN
5,2026-08-23 18:30:00,EQ,1047.9,1047.9,1032.1,1048.7,1039.5,1039.5,1036.32,8868193,9190247836.4,140325,5664401,63.87,SBIN
6,2026-08-20 18:30:00,EQ,1052.7,1054.7,1040.1,1048.0,1048.7,1048.7,1046.9,6534213,6840651659.9,94752,3778476,57.83,SBIN
7,2026-08-19 18:30:00,EQ,1052.9,1052.9,1045.7,1048.6,1048.0,1048.0,1048.6,5879949,6165712413.3,118558,3344975,56.89,SBIN
8,2026-08-18 18:30:00,EQ,1053.2,1054.8,1041.4,1053.0,1048.6,1048.6,1047.08,7182636,7520829741.8,108438,4140321,57.64,SBIN
9,2026-08-17 18:30:00,EQ,1059.6,1067.7,1053.0,1061.2,1053.0,1053.0,1056.82,5583771,5901048527.5,152004,2755769,49.35,SBIN
10,2026-08-16 18:30:00,EQ,1064.2,1068.8,1052.4,1067.7,1061.2,1061.2,1061.0,7039473,7468887651.4,144314,3473616,49.34,SBIN
11,2026-08-13 18:30:00,EQ,1082.0,1082.0,1065.1,1083.0,1067.7,1067.7,1069.62,6273501,6710266828.1,121961,3309195,52.75,SBIN
12,2026-08-12 18:30:00,EQ,1083.0,1086.8,1073.0,1082.0,1083.0,1083.0,1080.83,9502483,10270583290.8,135454,4868392,51.23,SBIN
13,2026-08-11 18:30:00,EQ,1066.0,1085.5,1066.0,1066.0,1082.0,1082.0,1079.4,17673922,19077229834.6,202405,9745081,55.14,SBIN
14,2026-08-10 18:30:00,EQ,1071.0,1071.0,1060.4,1071.0,1066.0,1066.0,1066.31,9456913,10083985653.9,247374,4388088,46.4,SBIN
15,2026-08-09 18:30:00,EQ,1108.0,1113.3,1068.6,1097.2,1071.0,1071.0,1083.95,16623448,18018988458.9,299377,7568799,45.53,SBIN
16,2026-08-06 18:30:00,EQ,1080.1,1124.5,1075.7,1085.0,1097.2,1097.2,1103.71,29410622,32460736548.4,439578,9937122,33.79,SBIN
17,2026-08-05 18:30:00,EQ,1052.5,1088.1,1052.5,1055.0,1085.0,1085.0,1073.4,13822265,14836847203.7,221340,5839404,42.25,SBIN
18,2026-08-04 18:30:00,EQ,1043.0,1055.0,1040.3,1042.7,1055.0,1055.0,1050.19,8707119,9144162668.1,148072,4538901,52.13,SBIN
19,2026-08-03 18:30:00,EQ,1047.6,1047.6,1030.9,1045.0,1042.7,1042.7,1036.36,8544184,8854850319.7,163836,4533215,53.06,SBIN
20,2026-08-02 18:30:00,EQ,1035.0,1051.5,1031.6,1027.4,1045.0,1045.0,1041.98,10507450,10948508376.1,167075,6160621,58.63,SBIN
21,2026-07-30 18:30:00,EQ,1028.1,1034.3,1023.5,1025.3,1027.6,1027.4,1027.66,10921417,11223453912.2,168921,6811175,62.37,SBIN
22,2026-07-29 18:30:00,EQ,1013.5,1028.3,1007.6,1013.7,1024.0,1025.3,1020.37,6847458,6986967139.0,137559,2773301,40.5,SBIN
23,2026-07-28 18:30:00,EQ,1020.0,1020.2,1012.0,1013.2,1014.0,1013.7,1014.99,4792964,4864818265.2,98762,2593665,54.11,SBIN
24,2026-07-27 18:30:00,EQ,1018.0,1022.0,1008.3,1020.6,1014.4,1013.2,1014.13,9873370,10012879318.8,181378,4386852,44.43,SBIN
25,2026-07-26 18:30:00,EQ,1020.3,1023.7,1015.9,1015.0,1019.8,1020.6,1020.06,6093002,6215243572.2,162737,3410763,55.98,SBIN
26,2026-07-23 18:30:00,EQ,1006.0,1017.8,1000.8,1012.6,1012.0,1015.0,1009.14,13797053,13923168257.4,251434,8399248,60.88,SBIN
27,2026-07-22 18:30:00,EQ,1022.0,1023.1,1006.5,1025.0,1013.5,1012.6,1014.42,8910230,9038728469.5,174030,4395700,49.33,SBIN
